nohup: 忽略输入
设备 cuda | arch vit_b_16 | scope per_env | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 env=00] 训练 294 张 / 测试 73 张 / 每 epoch 18 个 batch
 epoch       loss      acc      auc       秒
[seed=1 size=224 env=00] 训练 294 张 / 测试 73 张 / 每 epoch 18 个 batch
 epoch       loss      acc      auc       秒
     1     0.7603    0.575    0.553     1.9
     2     0.6902    0.575    0.510     1.9
     3     0.6962    0.575    0.480     1.9
     4     0.6753    0.575    0.499     1.8
     5     0.6727    0.575    0.495     1.9
     6     0.6684    0.630    0.624     1.8
     7     0.6587    0.603    0.601     1.8
     8     0.6369    0.562    0.567     1.9
     9     0.6426    0.616    0.560     1.9
    10     0.6795    0.466    0.613     1.8
    11     0.6236    0.507    0.555     1.8
    12     0.5876    0.575    0.577     1.8
    13     0.6590    0.562    0.529     1.9
    14     0.6410    0.575    0.614     1.9
    15     0.6199    0.438    0.523     1.8
    16     0.5631    0.575    0.645     1.9
    17     0.5827    0.548    0.644     1.9
    18     0.5844    0.575    0.647     1.8
    19     0.5753    0.575    0.486     1.9
    20     0.6520    0.575    0.582     1.9
    21     0.6291    0.616    0.606     1.8
    22     0.5452    0.589    0.559     1.9
    23     0.5697    0.521    0.631     1.9
    24     0.5592    0.589    0.618     1.9
    25     0.5447    0.548    0.561     1.9
    26     0.5127    0.521    0.501     1.8
    27     0.5784    0.589    0.612     1.9
    28     0.5630    0.589    0.587     1.8
    29     0.4387    0.507    0.560     1.8
    30     0.4626    0.575    0.618     1.9
    31     0.4916    0.534    0.551     1.8
    32     0.4247    0.507    0.511     1.9
    33     0.4148    0.548    0.593     1.8
    34     0.4323    0.548    0.554     1.9
    35     0.4625    0.548    0.589     1.8
    36     0.3974    0.658    0.645     1.9
    37     0.4281    0.507    0.592     1.9
    38     0.3872    0.562    0.547     1.9
    39     0.4279    0.507    0.550     1.9
    40     0.3491    0.630    0.691     1.9
    41     0.4255    0.575    0.590     1.9
    42     0.3654    0.589    0.610     1.9
    43     0.3387    0.534    0.530     1.9
    44     0.3732    0.548    0.580     1.9
    45     0.3253    0.548    0.575     1.9
    46     0.3639    0.616    0.631     1.9
    47     0.3896    0.630    0.671     1.9
    48     0.3476    0.603    0.680     1.8
    49     0.2702    0.616    0.641     2.0
    50     0.3000    0.644    0.687     1.8
[seed=1 size=224 env=00] 末轮 acc 0.644（记进汇总的是这个）   最好 epoch acc 0.658（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=1 size=224 env=01] 训练 418 张 / 测试 105 张 / 每 epoch 26 个 batch
 epoch       loss      acc      auc       秒
     1     0.7198    0.533    0.483     2.4
     2     0.6603    0.505    0.678     2.4
     3     0.6158    0.505    0.780     2.4
     4     0.5593    0.743    0.911     2.4
     5     0.4559    0.743    0.896     2.4
     6     0.4987    0.695    0.767     2.4
     7     0.4720    0.800    0.919     2.4
     8     0.3901    0.714    0.854     2.4
     9     0.3643    0.848    0.977     2.4
    10     0.3909    0.752    0.865     2.4
    11     0.3885    0.810    0.973     2.4
    12     0.3242    0.800    0.965     2.4
    13     0.2587    0.829    0.947     2.4
    14     0.2979    0.914    0.983     2.4
    15     0.2798    0.857    0.945     2.4
    16     0.2675    0.895    0.962     2.4
    17     0.2841    0.857    0.950     2.4
    18     0.2250    0.819    0.957     2.4
    19     0.2937    0.895    0.964     2.4
    20     0.1999    0.867    0.950     2.4
    21     0.3144    0.924    0.964     2.4
    22     0.2344    0.857    0.970     2.4
    23     0.1906    0.876    0.963     2.4
    24     0.2183    0.810    0.924     2.4
    25     0.2060    0.762    0.952     2.4
    26     0.2092    0.800    0.899     2.4
    27     0.2812    0.886    0.974     2.4
    28     0.1727    0.829    0.964     2.4
    29     0.2338    0.819    0.929     2.4
    30     0.2436    0.886    0.967     2.4
    31     0.1841    0.800    0.941     2.4
    32     0.1593    0.867    0.940     2.4
    33     0.2216    0.867    0.931     2.5
    34     0.2019    0.886    0.960     2.4
    35     0.1688    0.771    0.925     2.4
    36     0.1528    0.838    0.910     2.4
    37     0.1600    0.819    0.964     2.4
    38     0.1740    0.867    0.962     2.4
    39     0.1858    0.800    0.945     2.5
    40     0.2815    0.752    0.803     2.4
    41     0.3001    0.733    0.949     2.4
    42     0.2241    0.752    0.874     2.4
    43     0.2374    0.800    0.937     2.4
    44     0.1644    0.867    0.965     2.4
    45     0.1973    0.905    0.968     2.4
    46     0.1718    0.914    0.964     2.4
    47     0.1547    0.800    0.968     2.5
    48     0.1344    0.781    0.960     2.4
    49     0.1327    0.819    0.938     2.4
    50     0.1528    0.781    0.942     2.4
[seed=1 size=224 env=01] 末轮 acc 0.781（记进汇总的是这个）   最好 epoch acc 0.924（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=1 size=224 env=02] 训练 220 张 / 测试 54 张 / 每 epoch 13 个 batch
 epoch       loss      acc      auc       秒
     1     0.9535    0.611    0.647     1.5
     2     0.6933    0.574    0.560     1.5
     3     0.6895    0.574    0.567     1.5
     4     0.6785    0.574    0.627     1.5
     5     0.6831    0.537    0.602     1.5
     6     0.6639    0.500    0.560     1.5
     7     0.6344    0.500    0.560     1.5
     8     0.6510    0.481    0.543     1.5
     9     0.6093    0.593    0.579     1.5
    10     0.5566    0.556    0.588     1.5
    11     0.5749    0.574    0.604     1.5
    12     0.5099    0.519    0.578     1.5
    13     0.4799    0.500    0.600     1.5
    14     0.4886    0.574    0.596     1.5
    15     0.4590    0.556    0.581     1.5
    16     0.3998    0.574    0.620     1.5
    17     0.3373    0.481    0.595     1.5
    18     0.4233    0.463    0.481     1.5
    19     0.3561    0.556    0.578     1.5
    20     0.3182    0.556    0.574     1.5
    21     0.3490    0.519    0.561     1.5
    22     0.2624    0.463    0.515     1.5
    23     0.2851    0.519    0.586     1.5
    24     0.2663    0.537    0.563     1.5
    25     0.3309    0.537    0.613     1.5
    26     0.2417    0.519    0.582     1.5
    27     0.2656    0.500    0.558     1.5
    28     0.2443    0.463    0.540     1.5
    29     0.1708    0.500    0.574     1.5
    30     0.1791    0.537    0.582     1.5
    31     0.2012    0.500    0.574     1.5
    32     0.2285    0.500    0.581     1.5
    33     0.1899    0.556    0.583     1.5
    34     0.1951    0.500    0.555     1.5
    35     0.1374    0.556    0.555     1.5
    36     0.2081    0.500    0.553     1.5
    37     0.1733    0.500    0.572     1.5
    38     0.1528    0.481    0.550     1.5
    39     0.1480    0.556    0.578     1.5
    40     0.2411    0.537    0.550     1.5
    41     0.1912    0.556    0.557     1.5
    42     0.1594    0.463    0.504     1.5
    43     0.2341    0.574    0.586     1.5
    44     0.2134    0.537    0.561     1.5
    45     0.1404    0.537    0.568     1.5
    46     0.1188    0.556    0.539     1.5
    47     0.1529    0.556    0.557     1.5
    48     0.1847    0.556    0.540     1.5
    49     0.1658    0.500    0.536     1.5
    50     0.2139    0.537    0.555     1.5
[seed=1 size=224 env=02] 末轮 acc 0.537（记进汇总的是这个）   最好 epoch acc 0.611（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=1 size=640 env=00] 训练 294 张 / 测试 73 张 / 每 epoch 18 个 batch
 epoch       loss      acc      auc       秒
     1     0.7813    0.397    0.476    10.3
     2     0.6878    0.575    0.578    10.3
     3     0.6530    0.479    0.631    10.3
     4     0.6674    0.479    0.627    10.2
     5     0.6703    0.575    0.617    10.5
     6     0.6320    0.479    0.638    10.4
     7     0.6179    0.630    0.652    10.2
     8     0.6245    0.616    0.633    10.3
     9     0.5388    0.603    0.654    10.4
    10     0.5751    0.534    0.653    10.3
    11     0.5832    0.562    0.618    10.3
    12     0.5256    0.630    0.696    10.4
    13     0.5256    0.575    0.657    10.4
