dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,per_env,vit_b_16,640,0,00,7,0.54795,0.55837,0.64171
HTP,per_env,vit_b_16,640,0,00,8,0.57534,0.6179,0.65407
HTP,per_env,vit_b_16,640,0,00,9,0.61644,0.58871,0.62375
HTP,per_env,vit_b_16,640,0,00,10,0.61644,0.59178,0.65587
HTP,per_env,vit_b_16,640,0,00,11,0.54795,0.52458,0.63481
HTP,per_env,vit_b_16,640,0,00,12,0.49315,0.58218,0.64468
HTP,per_env,vit_b_16,640,0,00,13,0.58904,0.65822,0.62728
HTP,per_env,vit_b_16,640,0,00,14,0.64384,0.62135,0.5967
HTP,per_env,vit_b_16,640,0,00,15,0.60274,0.55799,0.56294
HTP,per_env,vit_b_16,640,0,00,16,0.54795,0.57988,0.59348
HTP,per_env,vit_b_16,640,0,00,17,0.54795,0.5722,0.59217
HTP,per_env,vit_b_16,640,0,00,18,0.58904,0.62903,0.58541
HTP,per_env,vit_b_16,640,0,00,19,0.63014,0.649,0.56461
HTP,per_env,vit_b_16,640,0,00,20,0.56164,0.62135,0.49875
HTP,per_env,vit_b_16,640,0,00,21,0.60274,0.68472,0.58444
HTP,per_env,vit_b_16,640,0,00,22,0.57534,0.65054,0.58694
HTP,per_env,vit_b_16,640,0,00,23,0.61644,0.66743,0.52883
HTP,per_env,vit_b_16,640,0,00,24,0.63014,0.63594,0.5124
HTP,per_env,vit_b_16,640,0,00,25,0.60274,0.61751,0.48403
HTP,per_env,vit_b_16,640,0,00,26,0.53425,0.60599,0.4769
HTP,per_env,vit_b_16,640,0,00,27,0.57534,0.59063,0.51976
HTP,per_env,vit_b_16,640,0,00,28,0.53425,0.60061,0.47987
HTP,per_env,vit_b_16,640,0,00,29,0.57534,0.62519,0.41323
HTP,per_env,vit_b_16,640,0,00,30,0.54795,0.63978,0.45635
HTP,per_env,vit_b_16,640,0,00,31,0.54795,0.5914,0.41825
HTP,per_env,vit_b_16,640,0,00,32,0.58904,0.62596,0.36797
HTP,per_env,vit_b_16,640,0,00,33,0.53425,0.59025,0.39975
HTP,per_env,vit_b_16,640,0,00,34,0.65753,0.6129,0.42422
HTP,per_env,vit_b_16,640,0,00,35,0.65753,0.68433,0.36833
HTP,per_env,vit_b_16,640,0,00,36,0.56164,0.61905,0.35023
HTP,per_env,vit_b_16,640,0,00,37,0.56164,0.63594,0.38069
HTP,per_env,vit_b_16,640,0,00,38,0.57534,0.63518,0.30801
HTP,per_env,vit_b_16,640,0,00,39,0.58904,0.61367,0.34594
HTP,per_env,vit_b_16,640,0,00,40,0.56164,0.64055,0.35673
HTP,per_env,vit_b_16,640,0,00,41,0.65753,0.64209,0.26763
HTP,per_env,vit_b_16,640,0,00,42,0.61644,0.68817,0.35465
HTP,per_env,vit_b_16,640,0,00,43,0.58904,0.64363,0.23398
HTP,per_env,vit_b_16,640,0,00,44,0.56164,0.63518,0.19048
HTP,per_env,vit_b_16,640,0,00,45,0.61644,0.67204,0.31734
HTP,per_env,vit_b_16,640,0,00,46,0.64384,0.6682,0.19178
HTP,per_env,vit_b_16,640,0,00,47,0.54795,0.60753,0.17639
HTP,per_env,vit_b_16,640,0,00,48,0.53425,0.58525,0.27302
HTP,per_env,vit_b_16,640,0,00,49,0.58904,0.64132,0.29485
HTP,per_env,vit_b_16,640,0,00,50,0.58904,0.6659,0.22825
HTP,per_env,vit_b_16,640,0,01,1,0.50476,0.51161,0.70784
HTP,per_env,vit_b_16,640,0,01,2,0.52381,0.63534,0.71781
HTP,per_env,vit_b_16,640,0,01,3,0.50476,0.72279,0.68618
HTP,per_env,vit_b_16,640,0,01,4,0.61905,0.81132,0.62811
HTP,per_env,vit_b_16,640,0,01,5,0.74286,0.83382,0.59851
HTP,per_env,vit_b_16,640,0,01,6,0.72381,0.83055,0.53113
HTP,per_env,vit_b_16,640,0,01,7,0.78095,0.86067,0.47723
HTP,per_env,vit_b_16,640,0,01,8,0.77143,0.85958,0.44598
HTP,per_env,vit_b_16,640,0,01,9,0.79048,0.90149,0.44829
HTP,per_env,vit_b_16,640,0,01,10,0.8,0.8955,0.32718
HTP,per_env,vit_b_16,640,0,01,11,0.82857,0.90675,0.32546
HTP,per_env,vit_b_16,640,0,01,12,0.82857,0.90747,0.52983
HTP,per_env,vit_b_16,640,0,01,13,0.84762,0.93832,0.31562
HTP,per_env,vit_b_16,640,0,01,14,0.85714,0.93324,0.24122
HTP,per_env,vit_b_16,640,0,01,15,0.86667,0.95102,0.27932
HTP,per_env,vit_b_16,640,0,01,16,0.87619,0.93251,0.28115
HTP,per_env,vit_b_16,640,0,01,17,0.86667,0.92707,0.2632
HTP,per_env,vit_b_16,640,0,01,18,0.87619,0.92417,0.21274
HTP,per_env,vit_b_16,640,0,01,19,0.81905,0.91328,0.18078
HTP,per_env,vit_b_16,640,0,01,20,0.5619,0.71626,0.36007
HTP,per_env,vit_b_16,640,0,01,21,0.80952,0.92562,0.34415
HTP,per_env,vit_b_16,640,0,01,22,0.79048,0.91909,0.21283
HTP,per_env,vit_b_16,640,0,01,23,0.87619,0.93396,0.24315
HTP,per_env,vit_b_16,640,0,01,24,0.80952,0.89441,0.12431
HTP,per_env,vit_b_16,640,0,01,25,0.85714,0.918,0.22175
HTP,per_env,vit_b_16,640,0,01,26,0.86667,0.9209,0.15513
HTP,per_env,vit_b_16,640,0,01,27,0.89524,0.92562,0.22643
HTP,per_env,vit_b_16,640,0,01,28,0.81905,0.90566,0.21865
HTP,per_env,vit_b_16,640,0,01,29,0.8,0.93033,0.13247
HTP,per_env,vit_b_16,640,0,01,30,0.78095,0.90639,0.16045
HTP,per_env,vit_b_16,640,0,01,31,0.84762,0.92798,0.11547
HTP,per_env,vit_b_16,640,0,01,32,0.84762,0.92453,0.11045
HTP,per_env,vit_b_16,640,0,01,33,0.84762,0.92308,0.15483
HTP,per_env,vit_b_16,640,0,01,34,0.84762,0.92852,0.11875
HTP,per_env,vit_b_16,640,0,01,35,0.81905,0.92271,0.13415
HTP,per_env,vit_b_16,640,0,01,36,0.82857,0.91038,0.08955
HTP,per_env,vit_b_16,640,0,01,37,0.8381,0.91401,0.12076
HTP,per_env,vit_b_16,640,0,01,38,0.8381,0.89441,0.1524
HTP,per_env,vit_b_16,640,0,01,39,0.79048,0.8955,0.20893
HTP,per_env,vit_b_16,640,0,01,40,0.82857,0.91909,0.13676
HTP,per_env,vit_b_16,640,0,01,41,0.79048,0.89078,0.09722
HTP,per_env,vit_b_16,640,0,01,42,0.82857,0.89768,0.15377
HTP,per_env,vit_b_16,640,0,01,43,0.84762,0.92417,0.13937
HTP,per_env,vit_b_16,640,0,01,44,0.8,0.91727,0.1237
HTP,per_env,vit_b_16,640,0,01,45,0.85714,0.92634,0.15849
HTP,per_env,vit_b_16,640,0,01,46,0.82857,0.92417,0.06859
HTP,per_env,vit_b_16,640,0,01,47,0.68571,0.86557,0.07505
HTP,per_env,vit_b_16,640,0,01,48,0.8381,0.90711,0.16339
HTP,per_env,vit_b_16,640,0,01,49,0.81905,0.92271,0.10544
HTP,per_env,vit_b_16,640,0,01,50,0.84762,0.91618,0.0533
HTP,per_env,vit_b_16,640,0,02,1,0.57407,0.6129,0.78206
HTP,per_env,vit_b_16,640,0,02,2,0.59259,0.66059,0.67489
