nohup: 忽略输入
设备 cuda | arch resnet50 | scope pooled_split | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
    49     0.0348    0.698    0.788    13.5
    50     0.0607    0.711    0.776    13.3
[seed=1 size=640 pooled_split] 末轮 acc 0.711（记进汇总的是这个）   最好 epoch acc 0.754（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=2 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
     1     0.6503    0.672    0.746     3.0
     2     0.5809    0.720    0.820     3.0
     3     0.5151    0.711    0.802     3.0
     4     0.4919    0.707    0.761     3.0
     5     0.4328    0.694    0.776     3.0
     6     0.3823    0.694    0.770     3.0
     7     0.3230    0.703    0.774     3.1
     8     0.3064    0.685    0.765     3.0
     9     0.2894    0.685    0.766     3.0
    10     0.3016    0.737    0.779     3.0
    11     0.2508    0.664    0.744     3.0
    12     0.2283    0.698    0.763     3.0
    13     0.2519    0.685    0.750     3.0
    14     0.2182    0.698    0.760     3.0
    15     0.1815    0.677    0.743     3.0
    16     0.1887    0.698    0.752     3.0
    17     0.1912    0.681    0.730     3.0
    18     0.1450    0.668    0.741     3.0
    19     0.1785    0.690    0.732     3.0
    20     0.1560    0.703    0.754     3.0
    21     0.1551    0.724    0.760     3.0
    22     0.1709    0.690    0.740     3.0
    23     0.1525    0.720    0.769     3.0
    24     0.1452    0.703    0.734     3.0
    25     0.1349    0.720    0.751     3.0
    26     0.1293    0.720    0.792     3.0
    27     0.1459    0.711    0.761     3.0
    28     0.1658    0.707    0.775     3.0
    29     0.1375    0.685    0.775     3.0
    30     0.1525    0.685    0.752     3.0
    31     0.1023    0.681    0.727     3.0
    32     0.1056    0.681    0.758     3.0
    33     0.1055    0.707    0.751     3.0
    34     0.1037    0.703    0.759     3.0
    35     0.1104    0.694    0.750     3.0
    36     0.0954    0.728    0.761     3.2
    37     0.1336    0.659    0.750     3.0
    38     0.1123    0.694    0.751     3.0
    39     0.1275    0.703    0.762     3.0
    40     0.1414    0.690    0.726     3.0
    41     0.1297    0.690    0.753     3.0
    42     0.1042    0.672    0.741     3.0
    43     0.1113    0.694    0.782     3.1
    44     0.1041    0.703    0.779     3.0
    45     0.1167    0.728    0.774     3.0
    46     0.1104    0.711    0.768     3.0
    47     0.0864    0.716    0.776     3.0
    48     0.0941    0.741    0.783     3.0
    49     0.1047    0.711    0.763     3.0
    50     0.0724    0.711    0.778     3.0
[seed=2 size=224 pooled_split] 末轮 acc 0.711（记进汇总的是这个）   最好 epoch acc 0.741（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=2 size=640 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
     1     0.6288    0.703    0.789    13.2
     2     0.5694    0.759    0.827    13.2
     3     0.5285    0.780    0.838    13.4
     4     0.5035    0.716    0.809    13.4
     5     0.4662    0.711    0.782    13.2
     6     0.4503    0.759    0.818    13.2
     7     0.3659    0.690    0.811    13.5
     8     0.3415    0.707    0.799    13.3
     9     0.2771    0.698    0.795    13.2
    10     0.2483    0.694    0.756    13.2
    11     0.2172    0.728    0.791    13.2
    12     0.2582    0.668    0.784    13.4
    13     0.2115    0.681    0.784    13.1
    14     0.2038    0.694    0.786    13.2
    15     0.1739    0.677    0.785    13.2
    16     0.1490    0.728    0.797    13.2
    17     0.1477    0.707    0.784    13.2
    18     0.1035    0.741    0.776    13.4
    19     0.1267    0.707    0.793    13.2
    20     0.1103    0.707    0.771    13.3
    21     0.0943    0.746    0.793    13.0
    22     0.0839    0.716    0.794    13.2
    23     0.0883    0.733    0.781    13.2
    24     0.0977    0.707    0.776    13.3
    25     0.0890    0.737    0.806    13.4
    26     0.0875    0.759    0.813    13.4
    27     0.0828    0.746    0.797    13.1
    28     0.0773    0.737    0.794    13.2
    29     0.0855    0.724    0.778    13.4
    30     0.0762    0.707    0.799    13.2
    31     0.0779    0.703    0.793    13.3
    32     0.0702    0.720    0.780    13.2
    33     0.0696    0.711    0.771    13.3
