dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,pooled_split,resnet50,640,0,01,8,0.74286,0.8828,0.34152
HTP,pooled_split,resnet50,640,0,02,8,0.55556,0.50912,0.34152
HTP,pooled_split,resnet50,640,0,overall,9,0.63362,0.73401,0.30321
HTP,pooled_split,resnet50,640,0,00,9,0.46575,0.52381,0.30321
HTP,pooled_split,resnet50,640,0,01,9,0.82857,0.92144,0.30321
HTP,pooled_split,resnet50,640,0,02,9,0.48148,0.43478,0.30321
HTP,pooled_split,resnet50,640,0,overall,10,0.6681,0.75977,0.26939
HTP,pooled_split,resnet50,640,0,00,10,0.57534,0.63518,0.26939
HTP,pooled_split,resnet50,640,0,01,10,0.80952,0.9062,0.26939
HTP,pooled_split,resnet50,640,0,02,10,0.51852,0.52735,0.26939
HTP,pooled_split,resnet50,640,0,overall,11,0.67241,0.7451,0.23231
HTP,pooled_split,resnet50,640,0,00,11,0.57534,0.6225,0.23231
HTP,pooled_split,resnet50,640,0,01,11,0.82857,0.90675,0.23231
HTP,pooled_split,resnet50,640,0,02,11,0.5,0.56101,0.23231
HTP,pooled_split,resnet50,640,0,overall,12,0.68103,0.76632,0.22266
HTP,pooled_split,resnet50,640,0,00,12,0.61644,0.64055,0.22266
HTP,pooled_split,resnet50,640,0,01,12,0.8,0.91546,0.22266
HTP,pooled_split,resnet50,640,0,02,12,0.53704,0.51473,0.22266
HTP,pooled_split,resnet50,640,0,overall,13,0.67672,0.76992,0.17861
HTP,pooled_split,resnet50,640,0,00,13,0.54795,0.64209,0.17861
HTP,pooled_split,resnet50,640,0,01,13,0.87619,0.9238,0.17861
HTP,pooled_split,resnet50,640,0,02,13,0.46296,0.52314,0.17861
HTP,pooled_split,resnet50,640,0,overall,14,0.62931,0.72971,0.20196
HTP,pooled_split,resnet50,640,0,00,14,0.58904,0.61137,0.20196
HTP,pooled_split,resnet50,640,0,01,14,0.70476,0.88099,0.20196
HTP,pooled_split,resnet50,640,0,02,14,0.53704,0.58485,0.20196
HTP,pooled_split,resnet50,640,0,overall,15,0.6681,0.74708,0.14092
HTP,pooled_split,resnet50,640,0,00,15,0.60274,0.64631,0.14092
HTP,pooled_split,resnet50,640,0,01,15,0.8381,0.91183,0.14092
HTP,pooled_split,resnet50,640,0,02,15,0.42593,0.44951,0.14092
HTP,pooled_split,resnet50,640,0,overall,16,0.68534,0.78384,0.15603
HTP,pooled_split,resnet50,640,0,00,16,0.68493,0.73502,0.15603
HTP,pooled_split,resnet50,640,0,01,16,0.8,0.90239,0.15603
HTP,pooled_split,resnet50,640,0,02,16,0.46296,0.52735,0.15603
HTP,pooled_split,resnet50,640,0,overall,17,0.68966,0.76497,0.16725
HTP,pooled_split,resnet50,640,0,00,17,0.60274,0.65054,0.16725
HTP,pooled_split,resnet50,640,0,01,17,0.80952,0.90493,0.16725
HTP,pooled_split,resnet50,640,0,02,17,0.57407,0.60309,0.16725
HTP,pooled_split,resnet50,640,0,overall,18,0.71121,0.77976,0.14875
HTP,pooled_split,resnet50,640,0,00,18,0.71233,0.73733,0.14875
HTP,pooled_split,resnet50,640,0,01,18,0.82857,0.90421,0.14875
HTP,pooled_split,resnet50,640,0,02,18,0.48148,0.51052,0.14875
HTP,pooled_split,resnet50,640,0,overall,19,0.65086,0.72821,0.14038
HTP,pooled_split,resnet50,640,0,00,19,0.63014,0.63825,0.14038
HTP,pooled_split,resnet50,640,0,01,19,0.72381,0.89151,0.14038
HTP,pooled_split,resnet50,640,0,02,19,0.53704,0.51052,0.14038
HTP,pooled_split,resnet50,640,0,overall,20,0.67241,0.77411,0.14819
HTP,pooled_split,resnet50,640,0,00,20,0.56164,0.63287,0.14819
HTP,pooled_split,resnet50,640,0,01,20,0.82857,0.91691,0.14819
HTP,pooled_split,resnet50,640,0,02,20,0.51852,0.55259,0.14819
HTP,pooled_split,resnet50,640,0,overall,21,0.64224,0.74798,0.15514
HTP,pooled_split,resnet50,640,0,00,21,0.58904,0.63978,0.15514
HTP,pooled_split,resnet50,640,0,01,21,0.8,0.90022,0.15514
HTP,pooled_split,resnet50,640,0,02,21,0.40741,0.49509,0.15514
HTP,pooled_split,resnet50,640,0,overall,22,0.68103,0.7521,0.11996
HTP,pooled_split,resnet50,640,0,00,22,0.60274,0.62519,0.11996
HTP,pooled_split,resnet50,640,0,01,22,0.81905,0.8984,0.11996
HTP,pooled_split,resnet50,640,0,02,22,0.51852,0.5554,0.11996
HTP,pooled_split,resnet50,640,0,overall,23,0.67672,0.74727,0.12268
HTP,pooled_split,resnet50,640,0,00,23,0.61644,0.65361,0.12268
HTP,pooled_split,resnet50,640,0,01,23,0.77143,0.89659,0.12268
HTP,pooled_split,resnet50,640,0,02,23,0.57407,0.49649,0.12268
HTP,pooled_split,resnet50,640,0,overall,24,0.68966,0.74562,0.10374
HTP,pooled_split,resnet50,640,0,00,24,0.57534,0.55223,0.10374
HTP,pooled_split,resnet50,640,0,01,24,0.85714,0.91001,0.10374
HTP,pooled_split,resnet50,640,0,02,24,0.51852,0.52454,0.10374
HTP,pooled_split,resnet50,640,0,overall,25,0.60776,0.69078,0.09863
HTP,pooled_split,resnet50,640,0,00,25,0.50685,0.52919,0.09863
HTP,pooled_split,resnet50,640,0,01,25,0.7619,0.86321,0.09863
HTP,pooled_split,resnet50,640,0,02,25,0.44444,0.47125,0.09863
HTP,pooled_split,resnet50,640,0,overall,26,0.68966,0.77104,0.1036
HTP,pooled_split,resnet50,640,0,00,26,0.63014,0.63825,0.1036
HTP,pooled_split,resnet50,640,0,01,26,0.80952,0.90929,0.1036
HTP,pooled_split,resnet50,640,0,02,26,0.53704,0.55961,0.1036
HTP,pooled_split,resnet50,640,0,overall,27,0.65948,0.74266,0.14642
HTP,pooled_split,resnet50,640,0,00,27,0.63014,0.68049,0.14642
HTP,pooled_split,resnet50,640,0,01,27,0.74286,0.86139,0.14642
HTP,pooled_split,resnet50,640,0,02,27,0.53704,0.5582,0.14642
HTP,pooled_split,resnet50,640,0,overall,28,0.65517,0.73731,0.08919
HTP,pooled_split,resnet50,640,0,00,28,0.60274,0.67742,0.08919
HTP,pooled_split,resnet50,640,0,01,28,0.80952,0.87663,0.08919
HTP,pooled_split,resnet50,640,0,02,28,0.42593,0.46003,0.08919
HTP,pooled_split,resnet50,640,0,overall,29,0.66379,0.74364,0.0826
HTP,pooled_split,resnet50,640,0,00,29,0.63014,0.59908,0.0826
HTP,pooled_split,resnet50,640,0,01,29,0.77143,0.88861,0.0826
HTP,pooled_split,resnet50,640,0,02,29,0.5,0.56662,0.0826
HTP,pooled_split,resnet50,640,0,overall,30,0.66379,0.75816,0.09228
HTP,pooled_split,resnet50,640,0,00,30,0.57534,0.65591,0.09228
HTP,pooled_split,resnet50,640,0,01,30,0.80952,0.90639,0.09228
HTP,pooled_split,resnet50,640,0,02,30,0.5,0.51192,0.09228
HTP,pooled_split,resnet50,640,0,overall,31,0.65517,0.75573,0.08735
HTP,pooled_split,resnet50,640,0,00,31,0.57534,0.63825,0.08735
HTP,pooled_split,resnet50,640,0,01,31,0.77143,0.88643,0.08735
HTP,pooled_split,resnet50,640,0,02,31,0.53704,0.56381,0.08735
HTP,pooled_split,resnet50,640,0,overall,32,0.63793,0.74184,0.0663
HTP,pooled_split,resnet50,640,0,00,32,0.56164,0.6275,0.0663
HTP,pooled_split,resnet50,640,0,01,32,0.75238,0.88316,0.0663
HTP,pooled_split,resnet50,640,0,02,32,0.51852,0.53576,0.0663
HTP,pooled_split,resnet50,640,0,overall,33,0.65948,0.76374,0.06029
HTP,pooled_split,resnet50,640,0,00,33,0.60274,0.70545,0.06029
HTP,pooled_split,resnet50,640,0,01,33,0.77143,0.89369,0.06029
HTP,pooled_split,resnet50,640,0,02,33,0.51852,0.51753,0.06029
HTP,pooled_split,resnet50,640,0,overall,34,0.68103,0.74839,0.06235
HTP,pooled_split,resnet50,640,0,00,34,0.64384,0.70046,0.06235
