dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,pooled_split,vit_b_16,224,0,00,47,0.72603,0.67358,0.54917
HTP,pooled_split,vit_b_16,224,0,01,47,0.66667,0.75617,0.54917
HTP,pooled_split,vit_b_16,224,0,02,47,0.61111,0.6648,0.54917
HTP,pooled_split,vit_b_16,224,0,overall,48,0.6681,0.73042,0.57027
HTP,pooled_split,vit_b_16,224,0,00,48,0.63014,0.64286,0.57027
HTP,pooled_split,vit_b_16,224,0,01,48,0.72381,0.81821,0.57027
HTP,pooled_split,vit_b_16,224,0,02,48,0.61111,0.64656,0.57027
HTP,pooled_split,vit_b_16,224,0,overall,49,0.65517,0.72477,0.55149
HTP,pooled_split,vit_b_16,224,0,00,49,0.63014,0.67435,0.55149
HTP,pooled_split,vit_b_16,224,0,01,49,0.70476,0.82983,0.55149
HTP,pooled_split,vit_b_16,224,0,02,49,0.59259,0.59046,0.55149
HTP,pooled_split,vit_b_16,224,0,overall,50,0.62069,0.73959,0.55913
HTP,pooled_split,vit_b_16,224,0,00,50,0.60274,0.649,0.55913
HTP,pooled_split,vit_b_16,224,0,01,50,0.68571,0.85269,0.55913
HTP,pooled_split,vit_b_16,224,0,02,50,0.51852,0.63254,0.55913
HTP,pooled_split,vit_b_16,640,0,overall,1,0.68966,0.74775,0.69346
HTP,pooled_split,vit_b_16,640,0,00,1,0.60274,0.56682,0.69346
HTP,pooled_split,vit_b_16,640,0,01,1,0.77143,0.88062,0.69346
HTP,pooled_split,vit_b_16,640,0,02,1,0.64815,0.69004,0.69346
HTP,pooled_split,vit_b_16,640,0,overall,2,0.65086,0.7506,0.63453
HTP,pooled_split,vit_b_16,640,0,00,2,0.53425,0.5722,0.63453
HTP,pooled_split,vit_b_16,640,0,01,2,0.75238,0.89078,0.63453
HTP,pooled_split,vit_b_16,640,0,02,2,0.61111,0.68724,0.63453
HTP,pooled_split,vit_b_16,640,0,overall,3,0.6681,0.72892,0.6325
HTP,pooled_split,vit_b_16,640,0,00,3,0.52055,0.54455,0.6325
HTP,pooled_split,vit_b_16,640,0,01,3,0.78095,0.87319,0.6325
HTP,pooled_split,vit_b_16,640,0,02,3,0.64815,0.6676,0.6325
HTP,pooled_split,vit_b_16,640,0,overall,4,0.65086,0.76419,0.58412
HTP,pooled_split,vit_b_16,640,0,00,4,0.56164,0.61482,0.58412
HTP,pooled_split,vit_b_16,640,0,01,4,0.73333,0.86865,0.58412
HTP,pooled_split,vit_b_16,640,0,02,4,0.61111,0.71809,0.58412
HTP,pooled_split,vit_b_16,640,0,overall,5,0.5431,0.66472,0.56655
HTP,pooled_split,vit_b_16,640,0,00,5,0.57534,0.65515,0.56655
HTP,pooled_split,vit_b_16,640,0,01,5,0.50476,0.63988,0.56655
HTP,pooled_split,vit_b_16,640,0,02,5,0.57407,0.67041,0.56655
HTP,pooled_split,vit_b_16,640,0,overall,6,0.66379,0.75621,0.68318
HTP,pooled_split,vit_b_16,640,0,00,6,0.57534,0.61521,0.68318
HTP,pooled_split,vit_b_16,640,0,01,6,0.73333,0.87591,0.68318
HTP,pooled_split,vit_b_16,640,0,02,6,0.64815,0.67041,0.68318
HTP,pooled_split,vit_b_16,640,0,overall,7,0.57759,0.72937,0.56933
HTP,pooled_split,vit_b_16,640,0,00,7,0.56164,0.649,0.56933
HTP,pooled_split,vit_b_16,640,0,01,7,0.59048,0.8242,0.56933
HTP,pooled_split,vit_b_16,640,0,02,7,0.57407,0.62623,0.56933
HTP,pooled_split,vit_b_16,640,0,overall,8,0.67241,0.7661,0.53117
HTP,pooled_split,vit_b_16,640,0,00,8,0.58904,0.61444,0.53117
HTP,pooled_split,vit_b_16,640,0,01,8,0.7619,0.8984,0.53117
HTP,pooled_split,vit_b_16,640,0,02,8,0.61111,0.65778,0.53117
HTP,pooled_split,vit_b_16,640,0,overall,9,0.62931,0.73278,0.51063
HTP,pooled_split,vit_b_16,640,0,00,9,0.56164,0.62673,0.51063
HTP,pooled_split,vit_b_16,640,0,01,9,0.70476,0.85341,0.51063
HTP,pooled_split,vit_b_16,640,0,02,9,0.57407,0.58345,0.51063
HTP,pooled_split,vit_b_16,640,0,overall,10,0.65517,0.74618,0.49765
HTP,pooled_split,vit_b_16,640,0,00,10,0.53425,0.61444,0.49765
HTP,pooled_split,vit_b_16,640,0,01,10,0.7619,0.87228,0.49765
HTP,pooled_split,vit_b_16,640,0,02,10,0.61111,0.6101,0.49765
HTP,pooled_split,vit_b_16,640,0,overall,11,0.65517,0.74753,0.4595
HTP,pooled_split,vit_b_16,640,0,00,11,0.58904,0.64363,0.4595
HTP,pooled_split,vit_b_16,640,0,01,11,0.75238,0.85377,0.4595
HTP,pooled_split,vit_b_16,640,0,02,11,0.55556,0.61851,0.4595
HTP,pooled_split,vit_b_16,640,0,overall,12,0.68966,0.7844,0.46174
HTP,pooled_split,vit_b_16,640,0,00,12,0.56164,0.62673,0.46174
HTP,pooled_split,vit_b_16,640,0,01,12,0.80952,0.9111,0.46174
HTP,pooled_split,vit_b_16,640,0,02,12,0.62963,0.6648,0.46174
HTP,pooled_split,vit_b_16,640,0,overall,13,0.68103,0.7676,0.40469
HTP,pooled_split,vit_b_16,640,0,00,13,0.67123,0.71045,0.40469
HTP,pooled_split,vit_b_16,640,0,01,13,0.75238,0.87482,0.40469
