nohup: 忽略输入
设备 cuda | arch vit_b_16 | scope pooled_split | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
     8     0.5038    0.690    0.789    31.6
     9     0.5113    0.690    0.787    31.6
    10     0.5161    0.694    0.762    31.6
    11     0.4636    0.703    0.791    31.7
    12     0.4688    0.698    0.796    31.4
    13     0.4368    0.703    0.784    31.5
    14     0.3817    0.638    0.709    31.4
    15     0.4024    0.698    0.787    31.5
    16     0.3407    0.694    0.755    31.6
    17     0.4014    0.655    0.755    31.7
    18     0.3528    0.690    0.789    31.6
    19     0.3072    0.711    0.814    31.9
    20     0.3057    0.707    0.820    31.7
    21     0.2847    0.677    0.756    31.6
    22     0.2767    0.707    0.799    31.8
    23     0.3229    0.698    0.785    31.7
    24     0.2856    0.672    0.782    31.9
    25     0.2484    0.707    0.810    31.8
    26     0.2174    0.703    0.766    32.1
    27     0.2000    0.711    0.792    32.1
    28     0.1870    0.664    0.770    31.9
    29     0.2381    0.690    0.784    31.9
    30     0.1736    0.677    0.781    32.0
    31     0.1750    0.707    0.793    31.9
    32     0.1661    0.681    0.775    31.9
    33     0.1715    0.690    0.770    31.7
    34     0.1659    0.677    0.781    31.6
    35     0.1269    0.672    0.777    31.8
    36     0.1609    0.698    0.798    31.8
    37     0.1403    0.716    0.799    31.5
    38     0.1784    0.672    0.795    31.6
    39     0.1339    0.703    0.808    31.5
    40     0.1330    0.681    0.786    31.8
    41     0.1113    0.707    0.796    32.1
    42     0.1500    0.716    0.798    31.6
    43     0.0964    0.716    0.797    31.6
    44     0.1039    0.694    0.808    31.5
    45     0.0979    0.720    0.781    31.6
    46     0.1349    0.711    0.792    31.9
    47     0.1249    0.711    0.806    31.9
    48     0.1526    0.707    0.786    31.9
    49     0.1030    0.655    0.767    31.5
    50     0.0980    0.668    0.770    31.8
[seed=1 size=640 pooled_split] 末轮 acc 0.668（记进汇总的是这个）   最好 epoch acc 0.720（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=2 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
     1     0.7052    0.543    0.613     5.1
     2     0.6924    0.543    0.565     5.1
     3     0.6904    0.556    0.631     5.1
     4     0.6870    0.543    0.594     5.1
     5     0.6805    0.556    0.600     5.1
     6     0.6887    0.517    0.587     5.1
     7     0.6767    0.500    0.559     5.1
     8     0.6831    0.578    0.667     5.1
     9     0.6781    0.534    0.561     5.1
    10     0.6774    0.543    0.640     5.1
    11     0.6644    0.530    0.630     5.2
    12     0.6749    0.543    0.593     5.1
    13     0.6689    0.552    0.673     5.1
    14     0.6812    0.543    0.482     5.1
    15     0.6897    0.543    0.588     5.1
    16     0.6811    0.552    0.610     5.2
    17     0.6748    0.556    0.632     5.1
    18     0.6639    0.461    0.570     5.1
    19     0.6728    0.543    0.641     5.1
    20     0.6716    0.543    0.635     5.1
    21     0.6487    0.504    0.498     5.2
    22     0.6766    0.543    0.491     5.3
    23     0.6604    0.547    0.557     5.2
    24     0.6710    0.543    0.522     5.1
    25     0.6677    0.539    0.616     5.1
    26     0.6552    0.552    0.632     5.2
    27     0.6723    0.543    0.469     5.2
    28     0.6791    0.509    0.511     5.1
    29     0.6554    0.560    0.627     5.1
    30     0.6471    0.612    0.647     5.2
    31     0.6532    0.539    0.636     5.1
    32     0.6501    0.616    0.642     5.1
    33     0.6388    0.573    0.653     5.1
    34     0.6267    0.629    0.659     5.2
    35     0.6575    0.539    0.503     5.1
    36     0.6378    0.543    0.674     5.1
    37     0.6392    0.616    0.678     5.2
    38     0.6461    0.539    0.617     5.1
    39     0.6251    0.659    0.706     5.1
    40     0.6217    0.586    0.624     5.1
    41     0.6421    0.655    0.720     5.1
    42     0.6275    0.685    0.712     5.1
    43     0.6247    0.543    0.563     5.1
    44     0.6265    0.582    0.621     5.2
    45     0.6098    0.659    0.712     5.2
    46     0.6137    0.578    0.691     5.1
    47     0.5986    0.599    0.642     5.2
    48     0.6053    0.655    0.703     5.1
    49     0.5795    0.690    0.718     5.2
    50     0.6018    0.659    0.712     5.1
[seed=2 size=224 pooled_split] 末轮 acc 0.659（记进汇总的是这个）   最好 epoch acc 0.690（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=2 size=640 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
     1     0.7599    0.543    0.551    31.6
     2     0.6868    0.543    0.582    31.7
     3     0.6734    0.690    0.725    31.7
     4     0.6620    0.578    0.724    31.7
     5     0.6404    0.565    0.628    31.9
     6     0.6323    0.707    0.775    31.7
     7     0.6189    0.703    0.784    32.1
     8     0.5968    0.603    0.681    32.2
     9     0.5708    0.711    0.816    31.8
    10     0.5327    0.629    0.761    31.8
    11     0.5276    0.642    0.779    31.6
    12     0.4916    0.724    0.783    31.8
    13     0.5185    0.720    0.786    31.8
    14     0.4659    0.685    0.808    31.8
    15     0.4485    0.746    0.806    32.1
    16     0.3975    0.724    0.816    31.7
    17     0.3876    0.698    0.790    31.8
    18     0.3861    0.720    0.812    31.8
    19     0.3678    0.672    0.733    31.7
    20     0.3661    0.638    0.702    31.9
    21     0.3259    0.728    0.801    32.0
    22     0.2916    0.741    0.799    31.7
    23     0.3082    0.733    0.814    31.8
    24     0.2980    0.737    0.819    31.7
    25     0.2620    0.703    0.782    31.9
    26     0.3092    0.694    0.781    31.9
    27     0.2500    0.690    0.784    31.8
    28     0.2851    0.728    0.786    31.9
    29     0.2249    0.707    0.789    31.8
    30     0.2258    0.754    0.826    31.7
    31     0.1981    0.754    0.826    31.9
    32     0.1976    0.746    0.819    31.8
    33     0.1962    0.724    0.798    31.9
    34     0.1959    0.677    0.801    31.7
    35     0.1759    0.720    0.800    31.8
    36     0.1907    0.733    0.810    31.7
    37     0.1554    0.728    0.793    31.8
    38     0.1692    0.685    0.745    32.0
    39     0.1556    0.754    0.820    31.7
    40     0.1533    0.754    0.812    31.8
    41     0.1536    0.733    0.803    32.1
    42     0.1732    0.759    0.827    32.1
    43     0.1213    0.754    0.810    31.8
    44     0.1250    0.776    0.826    31.8
    45     0.1109    0.750    0.816    32.0
    46     0.1516    0.733    0.802    31.6
    47     0.1191    0.707    0.784    31.7
    48     0.1080    0.741    0.805    31.8
    49     0.1012    0.754    0.810    31.8
    50     0.1069    0.754    0.818    31.6
[seed=2 size=640 pooled_split] 末轮 acc 0.754（记进汇总的是这个）   最好 epoch acc 0.776（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=3 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
